timeInMinutes,powerInW
0,715
1,799
2,858
3,955
4,1008
5,1024
6,1078
7,1092
8,1107
9,1094
10,1095
11,1077
12,1071
13,1072
14,1069
15,1066
16,1065
17,1062
18,1061
19,1057
20,1069
21,1069
22,1057
23,1063
24,1060
25,1059
26,1062
27,1056
28,1060
29,1060
30,1054
31,1059
32,1057
33,1063
34,1058
35,1052
36,1061
37,1059
38,1049
39,1050
40,1051
41,1052
42,1051
43,1051
44,1046
45,1043
46,1052
47,1044
48,1051
49,1044
50,1050
51,1050
52,1051
53,1044
54,1050
55,1042
56,1051
57,1048
58,1050
59,1043
60,1048
61,1043
62,1038
63,1044
64,1049
65,1047
66,1044
67,1046
68,1037
69,1043
70,1043
71,1038
72,1044
73,1034
74,1044
75,1047
76,1044
77,1043
78,1049
79,1038
80,1043
81,1042
82,1037
83,1043
84,1037
85,1046
86,1042
87,1035
88,1042
89,1036
90,1043
91,1040
92,1040
93,1034
94,1041
95,1037
96,1038
97,1034
98,1036
99,1039
100,1033
101,1032
102,1031
103,1032
104,1031
105,1031
106,1032
107,1035
108,1037
109,1037
110,1033
111,1031
112,1035
113,1035
114,1035
115,1035
116,1035
117,1032
118,1034
119,1035
120,1033
121,1025
122,1040
123,1034
124,1025
125,1034
126,1029
127,1030
128,1035
129,1035
130,1022
131,1023
132,1021
133,1028
134,1020
135,1019
136,1023
137,1023
138,1022
139,1022
140,1023
141,1020
142,1020
143,1021
144,1016
145,1021
146,1024
147,1023
148,1022
149,1019
150,1021
151,1018
152,1022
153,1021
154,1021
155,1017
156,1024
157,1021
158,1021
159,1026
160,1029
161,1029
162,1025
163,1017
164,1022
165,1017
166,1024
167,1035
168,1036
169,1039
170,1037
171,1040
172,1039
173,1038
174,1036
175,1043
176,1037
177,1044
178,1040
179,1033
180,1039
181,1033
182,1035
183,1038
184,1039
185,1039
186,1042
187,1041
188,1038
189,1037
190,1040
191,1040
192,1038
193,1040
194,1041
195,1037
196,1037
197,1041
198,1034
199,1042
200,1043
201,1031
202,1035
203,1028
204,1033
205,1031
206,1030
207,1029
208,1031
209,1031
210,1032
211,1032